# entities
# W3C table at http://www.whatwg.org/specs/web-apps/current-work/multipage/named-character-references.html#named-character-references
# l=lower case Latin L=upper case Latin (alpha accents) g=lower case Greek G=upper case Greek c Cyrillic lower case C Cyrillic Upper case.
# a=arrow b=blank d=diacritical mark m=music s=symbol 4=html4 5=html5 p=proposed n=not an entity X=XHTML o=ordinary char, does not need entity.
# $=currency
# desc has no entities whereas notesdoes.
# normally sorted by entity, hex, desc, categories
## categories, hex, overstrike, alpha entity,              description,                                                                 notes
o4,    0x20,    ,       ,                                  "ordinary space",                                                            "&rarr; &larr;"
nm,    0x1d1d2, ,       ,                                  "musical symbol square b"
nm,    0x1d1d3, ,       ,                                  "musical symbol virga"
nm,    0x1d1d4, ,       ,                                  "musical symbol podatus"
nm,    0x1d1d5, ,       ,                                  "musical symbol clivis"
nm,    0x1d1d6, ,       ,                                  "musical symbol scandicus"
nm,    0x1d1d7, ,       ,                                  "musical symbol climacus"
nm,    0x1d1d8, ,       ,                                  "musical symbol torculus"
nm,    0x1d1d9, ,       ,                                  "musical symbol porrectus"
nm,    0x1d1da, ,       ,                                  "musical symbol porrectus flexus"
nm,    0x1d1db, ,       ,                                  "musical symbol scandicus flexus"
nm,    0x1d1dc, ,       ,                                  "musical symbol torculus resupinus"
nm,    0x1d1dd, ,       ,                                  "musical symbol pes subpunctis"
$o,    0x24,    ,       $,                                 "dollar sign",                                                               "no entity needed."
4XL,   0xc6,    ,       &AElig;,                           "Latin capital letter AE"
5,     0x26,    ,       &AMP;,                             "ampersand",                                                                 "normally use html4 <span class=""entity"">&amp;amp;</span>"
4XL,   0xc1,    ,       &Aacute;,                          "Latin capital letter A with acute"
5,     0x102,   ,       &Abreve;,                          "Latin capital letter A breve"
4XL,   0xc2,    ,       &Acirc;,                           "Latin capital letter A with circumflex"
5C,    0x410,   ,       &Acy;,                             "Cyrillic capital letter A"
5,     0x1d504, ,       &Afr;,                             "Fraktur A"
4XL,   0xc0,    ,       &Agrave;,                          "Latin capital letter A with grave"
4XG,   0x391,   ,       &Alpha;,                           "Greek capital letter Alpha"
5,     0x100,   ,       &Amacr;,                           "Latin capital letter A macron"
